cl_type,cl_id,book,chapter,verse,clause_type_etcbc,clause_rela,book2,ebh_lbh,genre,txt_type,s_p_order,CP,cl_len,subj_type,subj_det,subj_len,pc_type,pc_det,pc_len,main_sub,nega,language,subgenre,Adju,Cmpl,Conj,EPPr,ExsS,Exst,Frnt,IntS,Intj,Loca,ModS,Modi,NCoS,NCop,Nega,Objc,PrAd,PrcS,PreO,PreS,PtcO,Ques,Rela,Supp,Time,Voct,Unkn,mother
hyh,427551,Genesis,1,2,WXQt,NA_,Genesis,ebh,prose,?,SP,W,3,NP,det,2,NP,und,3,Main,non_neg,hbo,_,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,perf
nom,427552,Genesis,1,2,NmCl,NA_,Genesis,ebh,prose,?,SP,W,3,NP,und,1,PP,und,3,Main,non_neg,hbo,_,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,perf
hyh,427566,Genesis,1,6,ZYqX,NA_,Genesis,ebh,prose,Q,SP,no_conj,2,NP,und,1,PP,det,4,Main,non_neg,hbo,_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wayq
nom,427589,Genesis,1,11,NmCl,Attr_,Genesis,ebh,prose,Q,SP,>CR,3,NP,det,2,PP,det,2,SubMod,non_neg,hbo,_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ptca
nom,427594,Genesis,1,12,NmCl,Attr_,Genesis,ebh,prose,N,SP,>CR,3,NP,det,2,PP,det,2,SubMod,non_neg,hbo,_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ptca
nom,427667,Genesis,1,29,NmCl,Attr_,Genesis,ebh,prose,Q,PS,>CR,3,NP,und,2,PP,det,2,SubMod,non_neg,hbo,_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,perf
nom,427671,Genesis,1,30,NmCl,Attr_,Genesis,ebh,prose,Q,PS,>CR,3,NP,und,2,PP,det,2,SubMod,non_neg,hbo,_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,no_pred
nom,427689,Genesis,2,4,NmCl,NA_,Genesis,ebh,prose,N,SP,no_conj,2,DPrP,det,1,NP,det,6,Main,non_neg,hbo,_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wayq
hyh,427693,Genesis,2,5,WXYq,NA_,Genesis,ebh,prose,D,SP,W,4,NP,det,4,PP,det,3,Main,non_neg,hbo,_,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,no_pred
hyh,427702,Genesis,2,7,WayX,NA_,Genesis,ebh,prose,N,SP,W,3,NP,det,2,PP,und,3,Main,non_neg,hbo,_,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wayq
nom,427715,Genesis,2,11,NmCl,NA_,Genesis,ebh,prose,D,SP,no_conj,2,NP,det,3,PrNP,det,1,Main,non_neg,hbo,_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,perf
nom,427718,Genesis,2,11,NmCl,Attr_,Genesis,ebh,prose,D,PS,>CR,3,NP,det,2,AdvP,NA,1,SubMod,non_neg,hbo,_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ptca
